user_id,message,timestamp,label
user_001,Why is my order taking so long? I ordered it 2 weeks ago.,2024-01-15T10:30:00Z,complaint
user_39958,can i get a replacement for the defective unit.,2024-01-01T08:01:00Z,inquiry
user_99325,HOW DO I CONTACT CUSTOMER SUPPORT!,2024-01-01T08:02:00Z,inquiry
user_30871,Why Is My Order Taking So Long? I Ordered It 10 Days Ago?,2024-01-01T08:15:00Z,complaint
user_81201,best company ever. highly recommended.,2024-01-01T08:12:00Z,praise
user_77305,Do You Offer International Shipping.,2024-01-01T08:10:00Z,inquiry
user_86565,How Do I Contact Customer Support?,2024-01-01T08:12:00Z,inquiry
user_31135,do you offer international shipping!,2024-01-01T08:28:00Z,inquiry
user_90135,JUST WANTED TO SAY THANK YOU FOR THE GREAT EXPERIENCE.,2024-01-01T08:24:00Z,praise
user_14273,How do I contact customer support?,2024-01-01T08:45:00Z,inquiry
user_58193,WHAT PAYMENT METHODS DO YOU ACCEPT?,2024-01-01T08:30:00Z,inquiry
user_30159,I am extremely unsatisfied with my purchase.,2024-01-01T08:33:00Z,complaint
user_40522,Do You Offer International Shipping,2024-01-01T08:24:00Z,inquiry
user_48714,Where can I find the refund policy!,2024-01-01T09:05:00Z,inquiry
user_83895,Why Is My Order Taking So Long? I Ordered It A Week Ago!,2024-01-01T08:28:00Z,complaint
user_36666,what payment methods do you accept.,2024-01-01T08:30:00Z,inquiry
user_96368,IS THERE A DISCOUNT CODE I CAN USE.,2024-01-01T09:20:00Z,inquiry
user_19738,can i return an item that was damaged in shipping.,2024-01-01T08:17:00Z,inquiry
user_93045,This Is The Worst Product I Have Ever Purchased,2024-01-01T09:30:00Z,complaint
user_38633,What is the warranty on this item!,2024-01-01T08:19:00Z,inquiry
user_020,My order is taking forever. I ordered it 2 weeks ago.,2024-01-15T15:46:00Z,complaint
user_18070,where can i find the refund policy.,2024-01-01T08:21:00Z,inquiry
user_33185,is there a discount code i can use.,2024-01-01T09:06:00Z,inquiry
user_70435,ABSOLUTELY LOVE EVERYTHING ABOUT THIS COMPANY.,2024-01-01T09:09:00Z,praise
user_82624,what is the warranty on this item,2024-01-01T08:24:00Z,inquiry
user_49101,What Is The Warranty On This Item!,2024-01-01T08:25:00Z,inquiry
user_39594,Where Can I Find The Refund Policy?,2024-01-01T09:44:00Z,inquiry
user_87192,This is the worst product I have ever purchased,2024-01-01T09:21:00Z,complaint
user_75025,I'M VERY DISAPPOINTED WITH THIS SERVICE,2024-01-01T10:20:00Z,complaint
user_57631,My order is taking forever. I ordered it 3 weeks ago?,2024-01-01T09:56:00Z,complaint
user_75003,Your Customer Service Is Absolutely Terrible?,2024-01-01T09:30:00Z,complaint
user_85871,Love this product! Best purchase ever.,2024-01-01T08:31:00Z,praise
